Name,Longitude,Latitude,RAG,popuptext
Manchester University NHS Foundation Trust,-2.227711,53.462436,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Manchester University NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 15.4%</span><br/>
      <span>Breaching 4 hour target (Type 1): 23.7%</span><br/><br/>

      <span>Beds occupied: 87%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1385</span><br/>
      <span>DToC days (Social Care): 863</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 6.5%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 13.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 11.2%</span>
      </div>"
Worcestershire Health and Care NHS Trust,-2.213008,52.19506,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Worcestershire Health and Care NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 90.4%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 472</span><br/>
      <span>DToC days (Social Care): 361</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NaN%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 13%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 16.2%</span>
      </div>"
Solent NHS Trust,-1.33086,50.901687,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Solent NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 85.7%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 264</span><br/>
      <span>DToC days (Social Care): 144</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NaN%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 11.9%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 11.3%</span>
      </div>"
Shropshire Community Health NHS Trust,-2.789366,52.705844,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Shropshire Community Health NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 0%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 14</span><br/>
      <span>DToC days (Social Care): 2</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 0%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 5.6%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 8.6%</span>
      </div>"
Staffordshire and Stoke on Trent Partnership NHS Trust,-2.227616,53.010128,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Staffordshire and Stoke on Trent Partnership NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): NA</span><br/>
      <span>DToC days (Social Care): NA</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
Isle of Wight NHS Trust,-1.30133,50.710843,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Isle of Wight NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 17.2%</span><br/>
      <span>Breaching 4 hour target (Type 1): 22.2%</span><br/><br/>

      <span>Beds occupied: 87.9%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 88</span><br/>
      <span>DToC days (Social Care): 259</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 5.3%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 7.3%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 7.2%</span>
      </div>"
Barts Health NHS Trust,-0.058133,51.519018,red,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Barts Health NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 15.1%</span><br/>
      <span>Breaching 4 hour target (Type 1): 23.3%</span><br/><br/>

      <span>Beds occupied: 90%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 1334</span><br/>
      <span>DToC days (Social Care): 399</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 4.6%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 14.4%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 13.9%</span>
      </div>"
Gloucestershire Care Services NHS Trust,-2.176389,51.847073,green,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Gloucestershire Care Services NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 0.5%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: NA%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 13</span><br/>
      <span>DToC days (Social Care): 0</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NA%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): NA%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): NA%</span>
      </div>"
London North West Healthcare NHS Trust,-0.322037,51.575407,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>London North West Healthcare NHS Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: 10%</span><br/>
      <span>Breaching 4 hour target (Type 1): 22.9%</span><br/><br/>

      <span>Beds occupied: 93.1%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 710</span><br/>
      <span>DToC days (Social Care): 573</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): 8.4%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 22.7%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 24%</span>
      </div>"
Essex Partnership University NHS Foundation Trust,0.543374,51.633013,amber,"<div style='font-size:12px;width:250px'>
      <span style='font-weight:bold'>Essex Partnership University NHS Foundation Trust</span><br/><br/>
      
      <span style='font-weight:bold'>A&E Activity</span><br/>
      <span>Breaching 4 hour target: NA%</span><br/>
      <span>Breaching 4 hour target (Type 1): NA%</span><br/><br/>

      <span>Beds occupied: 93.8%</span><br/><br/>
      
      <span style='font-weight:bold'>Delayed Discharges</span><br/>
      <span>DToC days (NHS): 369</span><br/>
      <span>DToC days (Social Care): 486</span><br/><br/>
      
      <span style='font-weight:bold'>Hospital Activity</span><br/>
      <span>Did Not Attend (inpatients): NaN%</span><br/>
      <span>Did Not Attent - first attendance (outpatients): 79.1%</span><br/>
      <span>Did Not Attent - subsequent attendance (outpatients): 20.9%</span>
      </div>"
